Id,SalePrice
1461,109775.3270913231
1462,168650.53560485816
1463,183246.3198945321
1464,192237.31529664688
1465,182665.7508255951
1466,173574.85866865108
1467,183125.13450470453
1468,174159.30024087997
1469,181786.55305272053
1470,104289.61896736687
1471,199220.2955419954
1472,94613.50701660028
1473,99334.91557216727
1474,150370.2152151892
1475,118452.37143358524
1476,378932.96988492634
1477,272179.6909231084
1478,278403.8774835519
1479,270282.46972998645
1480,496414.3190773838
1481,323946.40451570344
1482,205069.87046585412
1483,184828.80053360763
1484,162270.19229757128
1485,177941.93769060523
1486,192324.73777749858
1487,355525.5205864667
1488,232704.87415310135
1489,205776.5038783504
1490,263675.74438949843
1491,181166.44568301731
1492,74239.36072231644
1493,173444.95888837916
1494,344107.9947070677
1495,286362.01785987755
1496,244156.20362457968
1497,182072.07987969043
1498,155753.51532136655
1499,155256.36992892824
1500,155872.60159750172
1501,174712.7770407775
1502,143873.10088496748
1503,272004.65026804176
1504,245649.9329796552
1505,227177.36259944082
1506,181701.77861458878
1507,240943.77378936973
1508,207609.08801836355
1509,158220.77136576877
1510,145478.96779578706
1511,145186.86247751024
1512,171922.93581241433
1513,139733.21226520487
1514,83361.6837344284
1515,203666.0538362392
1516,169927.9240406577
1517,162532.4756335425
1518,131940.16808639228
1519,238185.38453783543
1520,134989.04781804606
1521,120823.53826055942
1522,169488.83043818743
1523,107626.76749711556
1524,129335.0061179349
1525,125337.2242748202
1526,130912.03534901181
1527,106286.23245882428
1528,139560.01813281153
1529,143613.46779258418
1530,189776.5978213141
1531,82578.2631288256
1532,108229.19923479807
1533,146618.97606857723
1534,124103.88266187118
1535,131655.08531305735
1536,105704.67219064393
1537,13405.616563513455
1538,154014.36655176283
1539,234342.70094823118
1540,87861.71891215716
1541,146644.0699929735
1542,130771.69884946125
1543,215423.95981859762
1544,89231.80233407841
1545,129557.19339218969
1546,134724.78854216874
1547,137300.28505579467
1548,141327.16235818135
1549,121131.26584924861
1550,136685.26751912755
1551,112283.59637393245
1552,150905.68759449877
1553,161158.0257439716
1554,118565.28525812888
1555,163139.7509160457
1556,91942.90804529941
1557,98665.53725736344
1558,96267.26590411803
1559,65217.5238301703
1560,113215.27276655858
1561,136880.87900244293
1562,130119.57906497395
1563,128629.50566053065
1564,151106.82262553342
1565,156405.87138058885
1566,268106.432218961
1567,78918.1742173023
1568,228324.35843019115
1569,123757.2794840108
1570,144766.45223347624
1571,109306.87489183653
1572,136073.23343104107
1573,274195.653220546
1574,106949.99106071124
1575,264030.6627357049
1576,220286.57625529286
1577,189919.40356981134
1578,137975.8934058432
1579,152247.14938165888
1580,193595.28836117865
1581,148304.30891692388
1582,123861.61603010514
1583,315885.1851184476
1584,237762.41076918851
1585,139058.00576327415
1586,82885.15188030843
1587,136843.01317230787
1588,145404.46037467645
1589,68779.6427631929
1590,127282.44968261893
1591,91646.79054760693
1592,111952.66461370773
1593,121655.98380324668
1594,163376.13070136678
1595,98374.21827066348
1596,253502.9747572809
1597,202269.59632890738
1598,201289.1467371912
1599,185355.2924785069
1600,167418.9584352115
1601,60284.47737538251
1602,108038.98197379005
1603,51480.302474185686
1604,266183.9618904814
1605,258409.2506841878
1606,184546.6135172794
1607,166037.26769665992
1608,223495.53739221318
1609,189408.01716085026
1610,167804.19383171652
1611,155615.26381640421
1612,172460.38091780973
1613,163285.30408263076
1614,120817.70075109656
1615,78469.3133660839
1616,84436.35269293748
1617,89255.53600609304
1618,125494.50264962703
1619,144856.13885013
1620,130847.63075142515
1621,141047.0886306327
1622,144497.56780032144
1623,289592.4076935734
1624,224738.53222112585
1625,122171.47081286427
1626,168441.78976034536
1627,193341.32441128255
1628,270268.90438215743
1629,183936.817235717
1630,377497.8099787717
1631,229253.11937621998
1632,240169.54952852693
1633,175558.5005000743
1634,189237.0649660508
1635,178588.87331773824
1636,156299.38947349065
1637,191490.0612775136
1638,169951.5269204949
1639,185107.13387646992
1640,257501.91309799053
1641,177140.00655607783
1642,224081.03405983117
1643,226915.40820033444
1644,228564.40395692017
1645,213043.08016689788
1646,162604.85672436358
1647,154529.90246250175
1648,126455.46372145556
1649,141318.43772870136
1650,82114.47816829808
1651,128072.55622933974
1652,103170.03451258279
1653,99328.84315731392
1654,145943.07927635103
1655,133767.37527438346
1656,142793.67821328947
1657,146394.77285852647
1658,143444.30559080746
1659,126408.92977988525
1660,150274.50182831835
1661,468649.28035989194
1662,401648.871328001
1663,391069.34557081305
1664,613723.8977884274
1665,349563.1862458388
1666,311571.32570787665
1667,403850.8369198146
1668,340133.2558833579
1669,300340.52567209426
1670,346453.35900768306
1671,265803.3231707961
1672,454891.70073588163
1673,302064.2473540727
1674,249058.74840454833
